epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,11464,0.8116,0.4336,0.88475,0.82966,0.74205,0.75045,0.36226,1.64164,1.07478,1.37691,0.00391537,0.00391537,0.00391537
59,11659.2,0.80533,0.43165,0.88291,0.83274,0.73597,0.74995,0.36246,1.63902,1.0737,1.37534,0.00376279,0.00376279,0.00376279
60,11857.7,0.80348,0.42721,0.88081,0.83232,0.73342,0.74967,0.36075,1.63887,1.07309,1.3778,0.00361144,0.00361144,0.00361144
61,12053.1,0.80056,0.42719,0.88094,0.83593,0.72642,0.74737,0.35856,1.63895,1.07507,1.37731,0.00346146,0.00346146,0.00346146
62,12251.1,0.79138,0.42169,0.87813,0.83204,0.72743,0.74578,0.35738,1.64295,1.078,1.37921,0.003313,0.003313,0.003313
63,12449.3,0.79239,0.4207,0.87906,0.83209,0.72225,0.74459,0.35528,1.64455,1.07689,1.37975,0.00316622,0.00316622,0.00316622
64,12639.7,0.78907,0.41914,0.87922,0.83304,0.71454,0.74085,0.35319,1.64623,1.07716,1.38037,0.00302125,0.00302125,0.00302125
65,12829.3,0.77845,0.41398,0.87739,0.8305,0.71231,0.73913,0.35186,1.6486,1.07931,1.3825,0.00287823,0.00287823,0.00287823
66,13019.7,0.78188,0.41535,0.874,0.83526,0.7088,0.73752,0.3498,1.65465,1.08306,1.38671,0.00273732,0.00273732,0.00273732
67,13210.8,0.78011,0.41386,0.87352,0.8333,0.70918,0.73569,0.34836,1.65781,1.08612,1.38899,0.00259864,0.00259864,0.00259864
68,13400,0.76921,0.40602,0.87381,0.83019,0.70789,0.73489,0.34724,1.66046,1.08942,1.39219,0.00246234,0.00246234,0.00246234
69,13595.7,0.77462,0.40729,0.8749,0.82724,0.7065,0.7332,0.34601,1.66294,1.09195,1.39523,0.00232855,0.00232855,0.00232855
70,13795.3,0.76267,0.40442,0.87184,0.82403,0.70374,0.73071,0.34363,1.66599,1.09527,1.3983,0.00219739,0.00219739,0.00219739
71,13988.1,0.76187,0.3999,0.87197,0.82098,0.70214,0.72779,0.34208,1.66865,1.0981,1.4015,0.00206901,0.00206901,0.00206901
72,14176.3,0.75606,0.39546,0.86902,0.81624,0.69723,0.72324,0.33896,1.672,1.10076,1.40514,0.00194353,0.00194353,0.00194353
